i,explanation,fractional positions,,
ICD10CM:R92,no fractional part,,,
ICD10CM:R92.0,,1,,
ICD10CM:R92.1,,1,,
ICD10CM:R92.2,,1,,
ICD10CM:R92.8,,1,,
ICD10CM:R93,no fractional part,,,
ICD10CM:R93.0,,1,,
ICD10CM:R93.1,,1,,
ICD10CM:R93.2,,1,,
ICD10CM:R93.3,,1,,
ICD10CM:R93.4,,1,,
ICD10CM:R93.41,,2,,
ICD10CM:R93.42,,2,,
ICD10CM:R93.421,,3,,
ICD10CM:R93.422,,3,,
ICD10CM:R93.429,,3,,
ICD10CM:R93.49,,2,,
ICD10CM:R93.5,,1,,
ICD10CM:R93.6,,1,,
ICD10CM:R93.7,,1,,
ICD10CM:R93.8,,1,,
ICD10CM:R93.81,,2,,
ICD10CM:R93.811,,3,,
ICD10CM:R93.812,,3,,
ICD10CM:R93.813,,3,,
ICD10CM:R93.819,,3,,
ICD10CM:R93.9,,1,,
ICD10CM:R94,no fractional part,,,
ICD10CM:R94.0,,1,,
ICD10CM:R94.01,,2,,
ICD10CM:R94.02,,2,,
ICD10CM:R94.09,,2,,
ICD10CM:R94.1,,1,,
ICD10CM:R94.11,,2,,
ICD10CM:R94.110,,3,,
ICD10CM:R94.111,,3,,
ICD10CM:R94.112,,3,,
ICD10CM:R94.113,,3,,
ICD10CM:R94.118,,3,,
ICD10CM:R94.12,,2,,
ICD10CM:R94.120,,3,,
ICD10CM:R94.121,,3,,
ICD10CM:R94.128,,3,,
ICD10CM:R94.13,,2,,
ICD10CM:R94.130,,3,,
ICD10CM:R94.131,,3,,
ICD10CM:R94.138,,3,,
ICD10CM:R94.2,,1,,
ICD10CM:R94.3,,1,,
ICD10CM:R94.30,,2,,
ICD10CM:R94.31,,2,,
ICD10CM:R94.39,,2,,
ICD10CM:R94.4,,1,,
ICD10CM:R94.5,,1,,
ICD10CM:R94.6,,1,,
ICD10CM:R94.7,,1,,
ICD10CM:R94.8,,1,,
ICD10CM:R97,no fractional part,,,
ICD10CM:R97.0,,1,,
ICD10CM:R97.1,,1,,
ICD10CM:R97.2,,1,,
ICD10CM:R97.20,,2,,
ICD10CM:R97.21,,2,,
ICD10CM:R97.8,,1,,
ICD10CM:R97-R97,range,,,
ICD10CM:R99,no fractional part,,,
ICD10CM:R99-R99,range,,,
ICD10CM:S00-T88,range,,,
ICD10CM:S50,no fractional part,,,
ICD10CM:S50.3,,1,,
ICD10CM:S50.31,,2,,
ICD10CM:S50.311,,3,,
ICD10CM:S50.311A,,4,,
ICD10CM:S50.311D,,4,,
ICD10CM:S50.311S,,4,,
ICD10CM:S50.312,,3,,
ICD10CM:S50.312A,,4,,
ICD10CM:S50.312D,,4,,
ICD10CM:S50.312S,,4,,
ICD10CM:S50.319,,3,,
ICD10CM:S50.319A,,4,,
ICD10CM:S50.319D,,4,,
ICD10CM:S50.319S,,4,,
ICD10CM:S50.32,,2,,
ICD10CM:S50.321,,3,,
ICD10CM:S50.321A,,4,,
ICD10CM:S50.321D,,4,,
ICD10CM:S50.321S,,4,,
ICD10CM:S50.322,,3,,
ICD10CM:S50.322A,,4,,
ICD10CM:S50.322D,,4,,
ICD10CM:S50.322S,,4,,
ICD10CM:S50.329,,3,,
ICD10CM:S50.329A,,4,,
ICD10CM:S50.329D,,4,,
ICD10CM:S50.329S,,4,,
ICD10CM:S50.34,,2,,
ICD10CM:S50.341,,3,,
ICD10CM:S50.341A,,4,,
ICD10CM:S50.341D,,4,,
ICD10CM:S50.341S,,4,,
ICD10CM:S50.342,,3,,
ICD10CM:S50.342A,,4,,
ICD10CM:S50.342D,,4,,
ICD10CM:S50.342S,,4,,
ICD10CM:S50.349,,3,,
ICD10CM:S50.349A,,4,,
ICD10CM:S50.349D,,4,,
ICD10CM:S50.349S,,4,,
ICD10CM:S50.37,,2,,
ICD10CM:S50.371,,3,,
ICD10CM:S50.371A,,4,,
ICD10CM:S50.371D,,4,,
ICD10CM:S50.371S,,4,,
ICD10CM:S50.372,,3,,
ICD10CM:S50.372A,,4,,
ICD10CM:S50.372D,,4,,
ICD10CM:S50.372S,,4,,
ICD10CM:S50.379,,3,,
ICD10CM:S50.379A,,4,,
ICD10CM:S50.379D,,4,,
ICD10CM:S50.379S,,4,,
ICD10CM:S50.8,,1,,
ICD10CM:S50.82,,2,,
ICD10CM:S50.821,,3,,
ICD10CM:S50.821A,,4,,
ICD10CM:S50.821D,,4,,
ICD10CM:S50.821S,,4,,
ICD10CM:S50.822,,3,,
ICD10CM:S50.822A,,4,,
ICD10CM:S50.822D,,4,,
ICD10CM:S50.822S,,4,,
ICD10CM:S50.829,,3,,
ICD10CM:S50.829A,,4,,
ICD10CM:S50.829D,,4,,
ICD10CM:S50.829S,,4,,
ICD10CM:S50.84,,2,,
ICD10CM:S50.841,,3,,
ICD10CM:S50.841A,,4,,
ICD10CM:S50.841D,,4,,
ICD10CM:S50.841S,,4,,
ICD10CM:S50.842,,3,,
ICD10CM:S50.842A,,4,,
ICD10CM:S50.842D,,4,,
ICD10CM:S50.842S,,4,,
ICD10CM:S50.849,,3,,
ICD10CM:S50.849A,,4,,
ICD10CM:S50.849D,,4,,
ICD10CM:S50.849S,,4,,
ICD10CM:S50.87,,2,,
ICD10CM:S50.871,,3,,
ICD10CM:S50.871A,,4,,
ICD10CM:S50.871D,,4,,
ICD10CM:S50.871S,,4,,
ICD10CM:S50.872,,3,,
ICD10CM:S50.872A,,4,,
ICD10CM:S50.872D,,4,,
ICD10CM:S50.872S,,4,,
ICD10CM:S50.879,,3,,
ICD10CM:S50.879A,,4,,
ICD10CM:S50.879D,,4,,
ICD10CM:S50.879S,,4,,
ICD10CM:S50.9,,1,,
ICD10CM:S50.90,,2,,
ICD10CM:S50.901,,3,,
ICD10CM:S50.901A,,4,,
ICD10CM:S50.901D,,4,,
ICD10CM:S50.901S,,4,,
ICD10CM:S50.902,,3,,
ICD10CM:S50.902A,,4,,
ICD10CM:S50.902D,,4,,
ICD10CM:S50.902S,,4,,
ICD10CM:S50.909,,3,,
ICD10CM:S50.909A,,4,,
ICD10CM:S50.909D,,4,,
ICD10CM:S50.909S,,4,,
ICD10CM:S50-S59,range,,,
ICD10CM:S51,no fractional part,,,
ICD10CM:S53,no fractional part,,,
ICD10CM:S53.0,,1,,
ICD10CM:S53.00,,2,,
ICD10CM:S53.001,,3,,
ICD10CM:S53.001A,,4,,
ICD10CM:S53.001D,,4,,
ICD10CM:S53.001S,,4,,
ICD10CM:S53.002,,3,,
ICD10CM:S53.002A,,4,,
ICD10CM:S53.002D,,4,,
ICD10CM:S53.002S,,4,,
ICD10CM:S53.003,,3,,
ICD10CM:S53.003A,,4,,
ICD10CM:S53.003D,,4,,
ICD10CM:S53.003S,,4,,
ICD10CM:S53.004,,3,,
ICD10CM:S53.004A,,4,,
ICD10CM:S53.004D,,4,,
ICD10CM:S53.004S,,4,,
ICD10CM:S53.005,,3,,
ICD10CM:S53.005A,,4,,
ICD10CM:S53.005D,,4,,
ICD10CM:S53.005S,,4,,
ICD10CM:S53.006,,3,,
ICD10CM:S53.006A,,4,,
ICD10CM:S53.006D,,4,,
ICD10CM:S53.006S,,4,,
ICD10CM:S53.01,,2,,
ICD10CM:S53.011,,3,,
ICD10CM:S53.011A,,4,,
ICD10CM:S53.011D,,4,,
ICD10CM:S53.011S,,4,,
ICD10CM:S53.012,,3,,
ICD10CM:S53.012A,,4,,
ICD10CM:S53.012D,,4,,
ICD10CM:S53.012S,,4,,
ICD10CM:S53.013,,3,,
ICD10CM:S53.013A,,4,,
ICD10CM:S53.013D,,4,,
ICD10CM:S53.013S,,4,,
ICD10CM:S53.014,,3,,
ICD10CM:S53.014A,,4,,
ICD10CM:S53.014D,,4,,
ICD10CM:S53.014S,,4,,
ICD10CM:S53.015,,3,,
ICD10CM:S53.015A,,4,,
ICD10CM:S53.015D,,4,,
ICD10CM:S53.015S,,4,,
ICD10CM:S53.016,,3,,
ICD10CM:S53.016A,,4,,
ICD10CM:S53.016D,,4,,
ICD10CM:S53.016S,,4,,
ICD10CM:S53.02,,2,,
ICD10CM:S53.021,,3,,
ICD10CM:S53.021A,,4,,
ICD10CM:S53.021D,,4,,
ICD10CM:S53.021S,,4,,
ICD10CM:S53.022,,3,,
ICD10CM:S53.022A,,4,,
ICD10CM:S53.022D,,4,,
ICD10CM:S53.022S,,4,,
ICD10CM:S53.023,,3,,
ICD10CM:S53.023A,,4,,
ICD10CM:S53.023D,,4,,
ICD10CM:S53.023S,,4,,
ICD10CM:S53.024,,3,,
ICD10CM:S53.024A,,4,,
ICD10CM:S53.024D,,4,,
ICD10CM:S53.024S,,4,,
ICD10CM:S53.025,,3,,
ICD10CM:S53.025A,,4,,
ICD10CM:S53.025D,,4,,
ICD10CM:S53.025S,,4,,
ICD10CM:S53.026,,3,,
ICD10CM:S53.026A,,4,,
ICD10CM:S53.026D,,4,,
ICD10CM:S53.026S,,4,,
ICD10CM:S53.09,,2,,
ICD10CM:S53.091,,3,,
ICD10CM:S53.091A,,4,,
ICD10CM:S53.091D,,4,,
ICD10CM:S53.091S,,4,,
ICD10CM:S53.092,,3,,
ICD10CM:S53.092A,,4,,
ICD10CM:S53.092D,,4,,
ICD10CM:S53.092S,,4,,
ICD10CM:S53.093,,3,,
ICD10CM:S53.093A,,4,,
ICD10CM:S53.093D,,4,,
ICD10CM:S53.093S,,4,,
ICD10CM:S53.094,,3,,
ICD10CM:S53.094A,,4,,
ICD10CM:S53.094D,,4,,
ICD10CM:S53.094S,,4,,
ICD10CM:S53.095,,3,,
ICD10CM:S53.095A,,4,,
ICD10CM:S53.095D,,4,,
ICD10CM:S53.095S,,4,,
ICD10CM:S53.096,,3,,
ICD10CM:S53.096A,,4,,
ICD10CM:S53.096D,,4,,
ICD10CM:S53.096S,,4,,
ICD10CM:S53.1,,1,,
ICD10CM:S53.10,,2,,
ICD10CM:S53.101,,3,,
ICD10CM:S53.101A,,4,,
ICD10CM:S53.101D,,4,,
ICD10CM:S53.101S,,4,,
ICD10CM:S53.102,,3,,
ICD10CM:S53.102A,,4,,
ICD10CM:S53.102D,,4,,
ICD10CM:S53.102S,,4,,
ICD10CM:S53.103,,3,,
ICD10CM:S53.103A,,4,,
ICD10CM:S53.103D,,4,,
ICD10CM:S53.103S,,4,,
ICD10CM:S53.104,,3,,
ICD10CM:S53.104A,,4,,
ICD10CM:S53.104D,,4,,
ICD10CM:S53.104S,,4,,
ICD10CM:S53.105,,3,,
ICD10CM:S53.105A,,4,,
ICD10CM:S53.105D,,4,,
ICD10CM:S53.105S,,4,,
ICD10CM:S53.106,,3,,
ICD10CM:S53.106A,,4,,
ICD10CM:S53.106D,,4,,
ICD10CM:S53.106S,,4,,
ICD10CM:S53.11,,2,,
ICD10CM:S53.111,,3,,
ICD10CM:S53.111A,,4,,
ICD10CM:S53.111D,,4,,
ICD10CM:S53.111S,,4,,
ICD10CM:S53.112,,3,,
ICD10CM:S53.112A,,4,,
ICD10CM:S53.112D,,4,,
ICD10CM:S53.112S,,4,,
ICD10CM:S53.113,,3,,
ICD10CM:S53.113A,,4,,
ICD10CM:S53.113D,,4,,
ICD10CM:S53.113S,,4,,
ICD10CM:S53.114,,3,,
ICD10CM:S53.114A,,4,,
ICD10CM:S53.114D,,4,,
ICD10CM:S53.114S,,4,,
ICD10CM:S53.115,,3,,
ICD10CM:S53.115A,,4,,
ICD10CM:S53.115D,,4,,
ICD10CM:S53.115S,,4,,
ICD10CM:S53.116,,3,,
ICD10CM:S53.116A,,4,,
ICD10CM:S53.116D,,4,,
ICD10CM:S53.116S,,4,,
ICD10CM:S53.12,,2,,
ICD10CM:S53.121,,3,,
ICD10CM:S53.121A,,4,,
ICD10CM:S53.121D,,4,,
ICD10CM:S53.121S,,4,,
ICD10CM:S53.122,,3,,
ICD10CM:S53.122A,,4,,
ICD10CM:S53.122D,,4,,
ICD10CM:S53.122S,,4,,
ICD10CM:S53.123,,3,,
ICD10CM:S53.123A,,4,,
ICD10CM:S53.123D,,4,,
ICD10CM:S53.123S,,4,,
ICD10CM:S53.124,,3,,
ICD10CM:S53.124A,,4,,
ICD10CM:S53.124D,,4,,
ICD10CM:S53.124S,,4,,
ICD10CM:S53.125,,3,,
ICD10CM:S53.125A,,4,,
ICD10CM:S53.125D,,4,,
ICD10CM:S53.125S,,4,,
ICD10CM:S53.126,,3,,
ICD10CM:S53.126A,,4,,
ICD10CM:S53.126D,,4,,
ICD10CM:S53.126S,,4,,
ICD10CM:S53.13,,2,,
ICD10CM:S53.131,,3,,
ICD10CM:S53.131A,,4,,
ICD10CM:S53.131D,,4,,
ICD10CM:S53.131S,,4,,
ICD10CM:S53.132,,3,,
ICD10CM:S53.132A,,4,,
ICD10CM:S53.132D,,4,,
ICD10CM:S53.132S,,4,,
ICD10CM:S53.133,,3,,
ICD10CM:S53.133A,,4,,
ICD10CM:S53.133D,,4,,
ICD10CM:S53.133S,,4,,
ICD10CM:S53.134,,3,,
ICD10CM:S53.134A,,4,,
ICD10CM:S53.134D,,4,,
ICD10CM:S53.134S,,4,,
ICD10CM:S53.135,,3,,
ICD10CM:S53.135A,,4,,
ICD10CM:S53.135D,,4,,
ICD10CM:S53.135S,,4,,
ICD10CM:S53.136,,3,,
ICD10CM:S53.136A,,4,,
ICD10CM:S53.136D,,4,,
ICD10CM:S53.136S,,4,,
ICD10CM:S53.14,,2,,
ICD10CM:S53.141,,3,,
ICD10CM:S53.141A,,4,,
ICD10CM:S53.141D,,4,,
ICD10CM:S53.141S,,4,,
ICD10CM:S53.142,,3,,
ICD10CM:S53.142A,,4,,
ICD10CM:S53.142D,,4,,
ICD10CM:S53.142S,,4,,
ICD10CM:S53.143,,3,,
ICD10CM:S53.143A,,4,,
ICD10CM:S53.143D,,4,,
ICD10CM:S53.143S,,4,,
ICD10CM:S53.144,,3,,
ICD10CM:S53.144A,,4,,
ICD10CM:S53.144D,,4,,
ICD10CM:S53.144S,,4,,
ICD10CM:S53.145,,3,,
ICD10CM:S53.145A,,4,,
ICD10CM:S53.145D,,4,,
ICD10CM:S53.145S,,4,,
ICD10CM:S53.146,,3,,
ICD10CM:S53.146A,,4,,
ICD10CM:S53.146D,,4,,
ICD10CM:S53.146S,,4,,
ICD10CM:S53.19,,2,,
ICD10CM:S53.191,,3,,
ICD10CM:S53.191A,,4,,
ICD10CM:S53.191D,,4,,
ICD10CM:S53.191S,,4,,
ICD10CM:S53.192,,3,,
ICD10CM:S53.192A,,4,,
ICD10CM:S53.192D,,4,,
ICD10CM:S53.192S,,4,,
ICD10CM:S53.193,,3,,
ICD10CM:S53.193A,,4,,
ICD10CM:S53.193D,,4,,
ICD10CM:S53.193S,,4,,
ICD10CM:S53.194,,3,,
ICD10CM:S53.194A,,4,,
ICD10CM:S53.194D,,4,,
ICD10CM:S53.194S,,4,,
ICD10CM:S53.195,,3,,
ICD10CM:S53.195A,,4,,
ICD10CM:S53.195D,,4,,
ICD10CM:S53.195S,,4,,
ICD10CM:S53.196,,3,,
ICD10CM:S53.196A,,4,,
ICD10CM:S53.196D,,4,,
ICD10CM:S53.196S,,4,,
ICD10CM:S53.2,,1,,
ICD10CM:S53.20,,2,,
ICD10CM:S53.20XA,,4,,
ICD10CM:S53.20XD,,4,,
ICD10CM:S53.20XS,,4,,
ICD10CM:S53.21,,2,,
ICD10CM:S53.21XA,,4,,
ICD10CM:S53.21XD,,4,,
ICD10CM:S53.21XS,,4,,
ICD10CM:S53.22,,2,,
ICD10CM:S53.22XA,,4,,
ICD10CM:S53.22XD,,4,,
ICD10CM:S53.22XS,,4,,
ICD10CM:S53.3,,1,,
ICD10CM:S53.30,,2,,
ICD10CM:S53.30XA,,4,,
ICD10CM:S53.30XD,,4,,
ICD10CM:S53.30XS,,4,,
ICD10CM:S53.31,,2,,
ICD10CM:S53.31XA,,4,,
ICD10CM:S53.31XD,,4,,
ICD10CM:S53.31XS,,4,,
ICD10CM:S53.32,,2,,
ICD10CM:S53.32XA,,4,,
ICD10CM:S53.32XD,,4,,
ICD10CM:S53.32XS,,4,,
ICD10CM:S54,no fractional part,,,
ICD10CM:S54.8,,1,,
ICD10CM:S54.8X,,2,,
ICD10CM:S54.8X1,,3,,
ICD10CM:S54.8X1A,,4,,
ICD10CM:S54.8X1D,,4,,
ICD10CM:S54.8X1S,,4,,
ICD10CM:S54.8X2,,3,,
ICD10CM:S54.8X2A,,4,,
ICD10CM:S54.8X2D,,4,,
ICD10CM:S54.8X2S,,4,,
ICD10CM:S54.8X9,,3,,
ICD10CM:S54.8X9A,,4,,
ICD10CM:S54.8X9D,,4,,
ICD10CM:S54.8X9S,,4,,
ICD10CM:S54.9,,1,,
ICD10CM:S54.90,,2,,
ICD10CM:S54.90XA,,4,,
ICD10CM:S54.90XD,,4,,
ICD10CM:S54.90XS,,4,,
ICD10CM:S54.91,,2,,
ICD10CM:S54.91XA,,4,,
ICD10CM:S54.91XD,,4,,
ICD10CM:S54.91XS,,4,,
ICD10CM:S54.92,,2,,
ICD10CM:S54.92XA,,4,,
ICD10CM:S54.92XD,,4,,
ICD10CM:S54.92XS,,4,,
ICD10CM:S56,no fractional part,,,
ICD10CM:S56.0,,1,,
ICD10CM:S56.00,,2,,
ICD10CM:S56.001,,3,,
ICD10CM:S56.001A,,4,,
ICD10CM:S56.001D,,4,,
ICD10CM:S56.001S,,4,,
ICD10CM:S56.002,,3,,
ICD10CM:S56.002A,,4,,
ICD10CM:S56.002D,,4,,
ICD10CM:S56.002S,,4,,
ICD10CM:S56.009,,3,,
ICD10CM:S56.009A,,4,,
ICD10CM:S56.009D,,4,,
ICD10CM:S56.009S,,4,,
ICD10CM:S56.01,,2,,
ICD10CM:S56.011,,3,,
ICD10CM:S56.011A,,4,,
ICD10CM:S56.011D,,4,,
ICD10CM:S56.011S,,4,,
ICD10CM:S56.012,,3,,
ICD10CM:S56.012A,,4,,
ICD10CM:S56.012D,,4,,
ICD10CM:S56.012S,,4,,
ICD10CM:S56.019,,3,,
ICD10CM:S56.019A,,4,,
ICD10CM:S56.019D,,4,,
ICD10CM:S56.019S,,4,,
ICD10CM:S56.02,,2,,
ICD10CM:S56.021,,3,,
ICD10CM:S56.021A,,4,,
ICD10CM:S56.021D,,4,,
ICD10CM:S56.021S,,4,,
ICD10CM:S56.022,,3,,
ICD10CM:S56.022A,,4,,
ICD10CM:S56.022D,,4,,
ICD10CM:S56.022S,,4,,
ICD10CM:S56.029,,3,,
ICD10CM:S56.029A,,4,,
ICD10CM:S56.029D,,4,,
ICD10CM:S56.029S,,4,,
ICD10CM:S56.09,,2,,
ICD10CM:S56.091,,3,,
ICD10CM:S56.091A,,4,,
ICD10CM:S56.091D,,4,,
ICD10CM:S56.091S,,4,,
ICD10CM:S56.092,,3,,
ICD10CM:S56.092A,,4,,
ICD10CM:S56.092D,,4,,
ICD10CM:S56.092S,,4,,
ICD10CM:S56.099,,3,,
ICD10CM:S56.099A,,4,,
ICD10CM:S56.099D,,4,,
ICD10CM:S56.099S,,4,,
ICD10CM:S56.1,,1,,
ICD10CM:S56.10,,2,,
ICD10CM:S56.101,,3,,
ICD10CM:S56.101A,,4,,
ICD10CM:S56.101D,,4,,
ICD10CM:S56.101S,,4,,
ICD10CM:S56.102,,3,,
ICD10CM:S56.102A,,4,,
ICD10CM:S56.102D,,4,,
ICD10CM:S56.102S,,4,,
ICD10CM:S56.103,,3,,
ICD10CM:S56.103A,,4,,
ICD10CM:S56.103D,,4,,
ICD10CM:S56.103S,,4,,
ICD10CM:S56.104,,3,,
ICD10CM:S56.104A,,4,,
ICD10CM:S56.104D,,4,,
ICD10CM:S56.104S,,4,,
ICD10CM:S56.105,,3,,
ICD10CM:S56.105A,,4,,
ICD10CM:S56.105D,,4,,
ICD10CM:S56.105S,,4,,
ICD10CM:S56.106,,3,,
ICD10CM:S56.106A,,4,,
ICD10CM:S56.106D,,4,,
ICD10CM:S56.106S,,4,,
ICD10CM:S56.107,,3,,
ICD10CM:S56.107A,,4,,
ICD10CM:S56.107D,,4,,
ICD10CM:S56.107S,,4,,
ICD10CM:S56.108,,3,,
ICD10CM:S56.108A,,4,,
ICD10CM:S56.108D,,4,,
ICD10CM:S56.108S,,4,,
ICD10CM:S56.109,,3,,
ICD10CM:S56.109A,,4,,
ICD10CM:S56.109D,,4,,
ICD10CM:S56.109S,,4,,
ICD10CM:S56.11,,2,,
ICD10CM:S56.111,,3,,
ICD10CM:S56.111A,,4,,
ICD10CM:S56.111D,,4,,
ICD10CM:S56.111S,,4,,
ICD10CM:S56.112,,3,,
ICD10CM:S56.112A,,4,,
ICD10CM:S56.112D,,4,,
ICD10CM:S56.112S,,4,,
ICD10CM:S56.113,,3,,
ICD10CM:S56.113A,,4,,
ICD10CM:S56.113D,,4,,
ICD10CM:S56.113S,,4,,
ICD10CM:S56.114,,3,,
ICD10CM:S56.114A,,4,,
ICD10CM:S56.114D,,4,,
ICD10CM:S56.114S,,4,,
ICD10CM:S56.115,,3,,
ICD10CM:S56.115A,,4,,
ICD10CM:S56.115D,,4,,
ICD10CM:S56.115S,,4,,
ICD10CM:S56.116,,3,,
ICD10CM:S56.116A,,4,,
ICD10CM:S56.116D,,4,,
ICD10CM:S56.116S,,4,,
ICD10CM:S56.117,,3,,
ICD10CM:S56.117A,,4,,
ICD10CM:S56.117D,,4,,
ICD10CM:S56.117S,,4,,
ICD10CM:S56.118,,3,,
ICD10CM:S56.118A,,4,,
ICD10CM:S56.118D,,4,,
ICD10CM:S56.118S,,4,,
ICD10CM:S56.119,,3,,
ICD10CM:S56.119A,,4,,
ICD10CM:S56.119D,,4,,
ICD10CM:S56.119S,,4,,
ICD10CM:S56.12,,2,,
ICD10CM:S56.121,,3,,
ICD10CM:S56.121A,,4,,
ICD10CM:S56.121D,,4,,
ICD10CM:S56.121S,,4,,
ICD10CM:S56.122,,3,,
ICD10CM:S56.122A,,4,,
ICD10CM:S56.122D,,4,,
ICD10CM:S56.122S,,4,,
ICD10CM:S56.123,,3,,
ICD10CM:S56.123A,,4,,
ICD10CM:S56.123D,,4,,
ICD10CM:S56.123S,,4,,
ICD10CM:S56.124,,3,,
ICD10CM:S56.124A,,4,,
ICD10CM:S56.124D,,4,,
ICD10CM:S56.124S,,4,,
ICD10CM:S56.125,,3,,
ICD10CM:S56.125A,,4,,
ICD10CM:S56.125D,,4,,
ICD10CM:S56.125S,,4,,
ICD10CM:S56.126,,3,,
ICD10CM:S56.126A,,4,,
ICD10CM:S56.126D,,4,,
ICD10CM:S56.126S,,4,,
ICD10CM:S56.127,,3,,
ICD10CM:S56.127A,,4,,
ICD10CM:S56.127D,,4,,
ICD10CM:S56.127S,,4,,
ICD10CM:S56.128,,3,,
ICD10CM:S56.128A,,4,,
ICD10CM:S56.128D,,4,,
ICD10CM:S56.128S,,4,,
ICD10CM:S56.129,,3,,
ICD10CM:S56.129A,,4,,
ICD10CM:S56.129D,,4,,
ICD10CM:S56.129S,,4,,
ICD10CM:S56.19,,2,,
ICD10CM:S56.191,,3,,
ICD10CM:S56.191A,,4,,
ICD10CM:S56.191D,,4,,
ICD10CM:S56.191S,,4,,
ICD10CM:S56.192,,3,,
ICD10CM:S56.192A,,4,,
ICD10CM:S56.192D,,4,,
ICD10CM:S56.192S,,4,,
ICD10CM:S56.193,,3,,
ICD10CM:S56.193A,,4,,
ICD10CM:S56.193D,,4,,
ICD10CM:S56.193S,,4,,
ICD10CM:S56.194,,3,,
ICD10CM:S56.194A,,4,,
ICD10CM:S56.194D,,4,,
ICD10CM:S56.194S,,4,,
ICD10CM:S56.195,,3,,
ICD10CM:S56.195A,,4,,
ICD10CM:S56.195D,,4,,
ICD10CM:S56.195S,,4,,
ICD10CM:S56.196,,3,,
ICD10CM:S56.196A,,4,,
ICD10CM:S56.196D,,4,,
ICD10CM:S56.196S,,4,,
ICD10CM:S56.197,,3,,
ICD10CM:S56.197A,,4,,
ICD10CM:S56.197D,,4,,
ICD10CM:S56.197S,,4,,
ICD10CM:S56.198,,3,,
ICD10CM:S56.198A,,4,,
ICD10CM:S56.198D,,4,,
ICD10CM:S56.198S,,4,,
ICD10CM:S56.199,,3,,
ICD10CM:S56.199A,,4,,
ICD10CM:S56.199D,,4,,
ICD10CM:S56.199S,,4,,
ICD10CM:S56.2,,1,,
ICD10CM:S56.20,,2,,
ICD10CM:S56.201,,3,,
ICD10CM:S56.201A,,4,,
ICD10CM:S56.201D,,4,,
ICD10CM:S56.201S,,4,,
ICD10CM:S56.202,,3,,
ICD10CM:S56.202A,,4,,
ICD10CM:S56.202D,,4,,
ICD10CM:S56.202S,,4,,
ICD10CM:S56.209,,3,,
ICD10CM:S56.209A,,4,,
ICD10CM:S56.209D,,4,,
ICD10CM:S56.209S,,4,,
ICD10CM:S56.21,,2,,
ICD10CM:S56.211,,3,,
ICD10CM:S56.211A,,4,,
ICD10CM:S56.211D,,4,,
ICD10CM:S56.211S,,4,,
ICD10CM:S56.212,,3,,
ICD10CM:S56.212A,,4,,
ICD10CM:S56.212D,,4,,
ICD10CM:S56.212S,,4,,
ICD10CM:S56.219,,3,,
ICD10CM:S56.219A,,4,,
ICD10CM:S56.219D,,4,,
ICD10CM:S56.219S,,4,,
ICD10CM:S56.22,,2,,
ICD10CM:S56.221,,3,,
ICD10CM:S56.221A,,4,,
ICD10CM:S56.221D,,4,,
ICD10CM:S56.221S,,4,,
ICD10CM:S56.222,,3,,
ICD10CM:S56.222A,,4,,
ICD10CM:S56.222D,,4,,
ICD10CM:S56.222S,,4,,
ICD10CM:S56.229,,3,,
ICD10CM:S56.229A,,4,,
ICD10CM:S56.229D,,4,,
ICD10CM:S56.229S,,4,,
ICD10CM:S56.29,,2,,
ICD10CM:S56.291,,3,,
ICD10CM:S56.291A,,4,,
ICD10CM:S56.291D,,4,,
ICD10CM:S56.291S,,4,,
ICD10CM:S56.292,,3,,
ICD10CM:S56.292A,,4,,
ICD10CM:S56.292D,,4,,
ICD10CM:S56.292S,,4,,
ICD10CM:S56.299,,3,,
ICD10CM:S56.299A,,4,,
ICD10CM:S56.299D,,4,,
ICD10CM:S56.299S,,4,,
ICD10CM:S56.3,,1,,
ICD10CM:S56.30,,2,,
ICD10CM:S56.301,,3,,
ICD10CM:S56.301A,,4,,
ICD10CM:S56.301D,,4,,
ICD10CM:S56.301S,,4,,
ICD10CM:S56.302,,3,,
ICD10CM:S56.302A,,4,,
ICD10CM:S56.302D,,4,,
ICD10CM:S56.302S,,4,,
ICD10CM:S56.309,,3,,
ICD10CM:S56.309A,,4,,
ICD10CM:S56.309D,,4,,
ICD10CM:S56.309S,,4,,
ICD10CM:S56.31,,2,,
ICD10CM:S56.311,,3,,
ICD10CM:S56.311A,,4,,
ICD10CM:S56.311D,,4,,
ICD10CM:S56.311S,,4,,
ICD10CM:S56.312,,3,,
ICD10CM:S56.312A,,4,,
ICD10CM:S56.312D,,4,,
ICD10CM:S56.312S,,4,,
ICD10CM:S56.319,,3,,
ICD10CM:S56.319A,,4,,
ICD10CM:S56.319D,,4,,
ICD10CM:S56.319S,,4,,
ICD10CM:S56.32,,2,,
ICD10CM:S56.321,,3,,
ICD10CM:S56.321A,,4,,
ICD10CM:S56.321D,,4,,
ICD10CM:S56.321S,,4,,
ICD10CM:S56.322,,3,,
ICD10CM:S56.322A,,4,,
ICD10CM:S56.322D,,4,,
ICD10CM:S56.322S,,4,,
ICD10CM:S56.329,,3,,
ICD10CM:S56.329A,,4,,
ICD10CM:S56.329D,,4,,
ICD10CM:S56.329S,,4,,
ICD10CM:S56.39,,2,,
ICD10CM:S56.391,,3,,
ICD10CM:S56.391A,,4,,
ICD10CM:S56.391D,,4,,
ICD10CM:S56.391S,,4,,
ICD10CM:S56.392,,3,,
ICD10CM:S56.392A,,4,,
